Patent_code,ID1,ID2,ID3,ID4,ID5,ID6,ID7
A22C 29/04,C2149,C12791,,,,,
A23B 4/00,C12733,C1041,,,,,
A23B 4/005,C12733,C1041,C7726,,,,
A23B 4/01,C12733,C1041,C7726,,,,
A23B 4/015,C12733,C1041,,,,,
A23B 4/02,C12733,C1041,C8345,C14052,C14051,,
A23B 4/023,C12733,C1041,C14042,C14051,,,
A23B 4/027,C12733,C1041,C8345,C14052,C14051,,
A23B 4/03,C12733,C1041,C5395,,,,
A23B 4/033,C12733,C1041,C474,C5395,,,
A23B 4/037,C12733,C1041,C6616,,,,
A23B 4/044,C14677,C1041,,,,,
A23B 4/048,C14677,C1041,C474,,,,
A23B 4/052,C14668,C5828,C1041,,,,
A23B 4/056,C14677,C1041,,,,,
A23B 4/06,C12733,C1041,C15919,,,,
A23B 4/07,C12733,C1041,C6660,C15901,,,
A23B 4/08,C12733,C1041,C4198,,,,
A23B 4/09,C12733,C1041,C15919,,,,
A23B 4/10,C12733,C1041,C3878,,,,
A23B 4/12,C12733,C1041,C398,,,,
A23B 4/14,C12733,C1041,,,,,
A23B 4/16,C12733,C1041,C6916,,,,
A23B 4/18,C12733,C1041,C188709,,,,
A23B 4/20,C12733,C1041,C11306,C10268,C5780,,
A23B 4/22,C12733,C1041,C10268,C5780,,,
A23B 4/24,C12733,C1041,C8345,,,,
A23B 4/26,C12733,C1041,C9463,C5828,,,
A23B 4/28,C12733,C1041,C9463,C8335,,,
A23B 4/30,C12733,C1041,C9463,C15052,C5828,,
A23B 4/32,C12733,C1041,C14809,C5828,,,
A23B 5/00,C12733,C1041,,,,,
A23B 5/005,C12733,C1041,C7726,,,,
A23B 5/01,C12733,C1041,C7726,,,,
A23B 5/015,C12733,C1041,,,,,
A23B 5/02,C12733,C1041,C5395,,,,
A23B 5/025,C12733,C1041,C5395,C474,,,
A23B 5/03,C12733,C1041,C6616,,,,
A23B 5/035,C12733,C1041,C15049,,,,
A23B 5/04,C12733,C1041,C15919,,,,
A23B 5/045,C12733,C1041,C6660,C15901,,,
A23B 5/05,C12733,C1041,C15919,,,,
A23B 5/055,C12733,C1041,C15919,,,,
A23B 5/06,C12733,C5513,C3878,,,,
A23B 5/08,C12733,C1041,,,,,
A23B 5/10,C12733,C1041,C6916,,,,
A23B 5/12,C12733,C1041,C188709,,,,
A23B 5/14,C12733,C1041,C11306,C10268,C5780,,
A23B 5/16,C12733,C1041,C10268,C5780,,,
A23B 5/18,C12733,C1041,C8345,,,,
A23B 5/20,C12733,C1041,C9463,C5828,,,
A23B 5/22,C12733,C1041,C14809,C5828,,,
A23B 7/00,C12733,C13716,C12358,,,,
A23B 7/005,C12733,C12358,C7726,,,,
A23B 7/01,C12733,C12358,C7726,,,,
A23B 7/015,C12733,C12358,,,,,
A23B 7/02,C12733,C12358,C5395,,,,
A23B 7/022,C12733,C12358,C5395,C474,,,
A23B 7/024,C12733,C12358,C6616,,,,
A23B 7/026,C12733,C12358,C15049,,,,
A23B 7/028,C12733,C12358,C5395,,,,
A23B 7/03,C12733,C12678,C5395,,,,
A23B 7/04,C12733,C12358,C15919,,,,
A23B 7/045,C12733,C12358,C6660,C15901,,,
A23B 7/05,C12733,C12358,C15919,,,,
A23B 7/055,C12733,C12358,C15919,,,,
A23B 7/06,C12733,C12358,C2192,,,,
A23B 7/08,C12733,C12358,C15455,,,,
A23B 7/10,C12733,C12358,C398,C6171,,,
A23B 7/12,C12733,C14159,C4071,C12794,,,
A23B 7/14,C12733,C13716,C12358,,,,
A23B 7/144,C12733,C13716,C12358,C6916,,,
A23B 7/148,C12733,C13716,C12358,C6916,C4177,,
A23B 7/152,C12733,C13716,C12358,C6916,C4177,,
A23B 7/153,C12733,C13716,C12358,C188709,,,
A23B 7/154,C12733,C13716,C12358,C11306,C10268,C5780,
A23B 7/155,C12733,C13716,C12358,C10268,C5780,,
A23B 7/157,C12733,C13716,C12358,C8345,,,
A23B 7/158,C12733,C12358,C9463,C5828,,,
A23B 7/159,C12733,C12358,C14809,C5828,,,
A23B 7/16,C12733,C13716,C12358,C3878,,,
A23B 9/00,C12733,C14323,,,,,
A23B 9/02,C12733,C14323,C7726,,,,
A23B 9/04,C12733,C14323,C7726,,,,
A23B 9/06,C12733,C14323,,,,,
A23B 9/08,C12733,C14323,C5395,,,,
A23B 9/10,C12733,C14323,C15919,,,,
A23B 9/12,C12733,C14323,C6660,C15901,,,
A23B 9/14,C12733,C14323,C3878,,,,
A23B 9/16,C12733,C14323,,,,,
A23B 9/18,C12733,C14323,C6916,,,,
A23B 9/20,C12733,C14323,C6916,C4177,,,
A23B 9/22,C12733,C14323,C6916,C4177,,,
A23B 9/24,C12733,C14323,C188709,,,,
A23B 9/26,C12733,C14323,C11306,C10268,C5780,,
A23B 9/28,C12733,C14323,C10268,C5780,,,
A23B 9/30,C12733,C14323,C8345,,,,
A23B 9/32,C12733,C14323,C9463,C5828,,,
A23B 9/34,C12733,C14323,C14809,C5828,,,
A23C 1/00,C4752,C12791,,,,,
A23C 1/01,C4752,C188402,,,,,
A23C 1/03,C4752,C188402,C5828,,,,
A23C 1/04,C4752,C15052,C6916,,,,
A23C 1/05,C4752,C15052,C6916,C596,,,
A23C 1/06,C4752,C6613,,,,,
A23C 1/08,C4752,C6616,,,,,
A23C 1/10,C4752,C6470,C5395,,,,
A23C 1/12,C4752,C4085,C5999,,,,
A23C 1/14,C4752,C12791,,,,,
A23C 1/16,C4752,C4085,C5999,C474,,,
A23C 3/00,C10306,C12733,,,,,
A23C 3/02,C10306,C12733,C7726,,,,
A23C 3/023,C10306,C12733,C7726,C11490,,,
A23C 3/027,C10306,C12733,C7726,C11490,C5828,,
A23C 3/03,C10306,C12733,C7726,,,,
A23C 3/033,C10306,C12733,C7726,C5828,,,
A23C 3/037,C10306,C12733,C7726,C5828,,,
A23C 3/04,C10306,C12733,C15919,,,,
A23C 3/05,C10306,C12733,C15919,C11490,,,
A23C 3/07,C10306,C12733,C8486,,,,
A23C 3/08,C10306,C12733,C6526,,,,
A23C 7/00,C4743,C15765,,,,,
A23C 7/02,C4743,C5828,C3779,,,,
A23C 7/04,C10306,C4851,,,,,
A23C 9/00,C4752,,,,,,
A23C 9/12,C6182,C10268,C5780,,,,
A23C 9/123,C6182,C8993,,,,,
A23C 9/127,C6182,C10268,C5780,,,,
A23C 9/13,C6182,C6494,,,,,
A23C 9/133,C6182,C12358,,,,,
A23C 9/137,C6182,C6552,,,,,
A23C 9/14,C4752,C4062,C12791,,,,
A23C 9/142,C4752,C4062,C12791,,,,
A23C 9/144,C4752,C4062,C12791,C5564,,,
A23C 9/146,C4752,C4062,C8449,,,,
A23C 9/148,C4752,C4062,C12791,,,,
A23C 9/15,C4752,C13388,C13394,,,,
A23C 9/152,C4752,C13388,C13394,C6494,,,
A23C 9/154,C4752,C13388,C13394,C6552,C5513,C3291,C6963
A23C 9/156,C6372,C13388,C13394,,,,
A23C 9/158,C4752,C13388,C13394,C16909,C1109,,
A23C 9/16,C10322,C596,C7379,C8363,,,
A23C 9/18,C5360,C4071,,,,,
A23C 9/20,C5077,C4752,,,,,
A23C 11/00,C10328,,,,,,
A23C 11/02,C10328,C6111,C12928,,,,
A23C 11/04,C10328,C6111,C10325,,,,
A23C 11/06,C10328,C12928,,,,,
A23C 11/08,C10328,C3093,,,,,
A23C 11/10,C10328,C9084,,,,,
A23C 13/00,C4381,,,,,,
A23C 13/08,C4381,C12733,,,,,
A23C 13/10,C4381,C12733,C6526,,,,
A23C 13/12,C4381,,,,,,
A23C 13/14,C4752,,,,,,
A23C 13/16,C14875,C10268,C5780,,,,
A23C 15/00,C2590,C2604,,,,,
A23C 15/02,C2590,C2604,,,,,
A23C 15/04,C2590,C2604,C2596,,,,
A23C 15/06,C2604,C4381,C12028,,,,
A23C 15/12,C2590,,,,,,
A23C 15/14,C2590,C2596,C12699,,,,
A23C 15/16,C2590,C6114,,,,,
A23C 15/18,C2590,C12733,,,,,
A23C 15/20,C2590,C12733,C6526,,,,
A23C 17/00,C2605,,,,,,
A23C 17/02,C2605,C10268,C5780,,,,
A23C 19/00,C3365,,,,,,
A23C 19/02,C3368,C3383,,,,,
A23C 19/024,C3368,C3383,,,,,
A23C 19/028,C3368,C3383,C3384,C3380,,,
A23C 19/032,C3368,C3383,C10268,C10221,,,
A23C 19/04,C3368,C3383,C10310,,,,
A23C 19/045,C3368,C3383,C3384,C3871,,,
A23C 19/05,C3368,C3383,C3384,,,,
A23C 19/055,C3368,C3383,C6111,C12928,,,
A23C 19/06,C3368,C3383,,,,,
A23C 19/064,C3368,C14051,,,,,
A23C 19/068,C3368,C3383,C3379,,,,
A23C 19/072,C3368,C3383,C3363,,,,
A23C 19/076,C3368,C3383,C14762,C6633,,,
A23C 19/08,C12789,C3383,,,,,
A23C 19/082,C3368,C474,C10012,,,,
A23C 19/084,C3368,C474,C10012,,,,
A23C 19/086,C3365,C12699,,,,,
A23C 19/09,C3368,C12791,,,,,
A23C 19/093,C3368,C12791,C6111,C12928,,,
A23C 19/097,C3365,C12733,,,,,
A23C 19/10,C3365,C12733,C6526,,,,
A23C 19/11,C3365,C12733,C6526,,,,
A23C 19/14,C3383,,,,,,
A23C 19/16,C3365,C3879,C3878,,,,
A23C 20/00,C3378,,,,,,
A23C 20/02,C3378,,,,,,
A23C 21/00,C17075,,,,,,
A23C 21/02,C17075,C10268,C5780,,,,
A23C 21/04,C17075,C6111,C12928,,,,
A23C 21/06,C17075,,,,,,
A23C 21/08,C17075,C16757,C1041,C11306,C6494,,
A23C 21/10,C17075,C8345,C6494,,,,
A23C 23/00,C4752,,,,,,
A23D 7/00,C9416,,,,,,
A23D 7/005,C9416,C8332,,,,,
A23D 7/01,C9416,C6123,,,,,
A23D 7/015,C9416,C2739,C6114,,,,
A23D 7/02,C9416,C12791,,,,,
A23D 7/04,C9416,C12791,,,,,
A23D 7/05,C9416,C4198,,,,,
A23D 7/06,C9416,C12733,,,,,
A23D 9/00,C9416,,,,,,
A23D 9/007,C9416,C8332,,,,,
A23D 9/013,C9416,C6123,,,,,
A23D 9/02,C9416,C12791,,,,,
A23D 9/04,C9416,C12791,,,,,
A23D 9/05,C9416,C12791,C6410,,,,
A23D 9/06,C9416,C12733,,,,,
A23F 3/00,C15761,,,,,,
A23F 3/06,C15750,C12791,,,,,
A23F 3/08,C15750,C11420,C6171,,,,
A23F 3/10,C15750,C6171,C10268,C5780,,,
A23F 3/12,C15757,C12791,,,,,
A23F 3/14,C15761,C474,,,,,
A23F 3/16,C15761,C12791,,,,,
A23F 3/18,C172662,C6048,,,,,
A23F 3/20,C15761,C6048,,,,,
A23F 3/22,C172662,C12791,,,,,
A23F 3/24,C172662,C6613,,,,,
A23F 3/26,C172662,C6616,,,,,
A23F 3/28,C172662,C15049,,,,,
A23F 3/30,C172662,C5355,C12791,,,,
A23F 3/32,C172662,C5355,C12791,,,,
A23F 3/34,C15761,,,,,,
A23F 3/36,C15761,C6048,C753,,,,
A23F 3/38,C172662,C6048,C753,,,,
A23F 3/40,C15761,C6376,,,,,
A23F 3/42,C15761,C6376,C6048,,,,
A23F 5/00,C3933,C3950,,,,,
A23F 5/02,C7433,C12791,,,,,
A23F 5/04,C3936,C13739,,,,,
A23F 5/06,C3933,C13739,,,,,
A23F 5/08,C3936,C7459,,,,,
A23F 5/10,C13736,C12791,,,,,
A23F 5/12,C13736,C12791,,,,,
A23F 5/14,C13736,C12791,C6494,,,,
A23F 5/16,C3933,C6048,,,,,
A23F 5/18,C3940,C6048,,,,,
A23F 5/20,C3933,C6048,C753,,,,
A23F 5/22,C3940,C6048,C753,,,,
A23F 5/24,C3949,C6048,,,,,
A23F 5/26,C3940,C6048,C14813,,,,
A23F 5/28,C3940,C12791,,,,,
A23F 5/30,C3940,C6613,,,,,
A23F 5/32,C3940,C6616,,,,,
A23F 5/34,C3940,C15049,,,,,
A23F 5/36,C3940,C5355,C12791,,,,
A23F 5/38,C3940,C5355,C12791,,,,
A23F 5/40,C3940,C5355,C12791,C6494,,,
A23F 5/42,C3940,C5355,C12791,C6494,,,
A23F 5/44,C3950,,,,,,
A23F 5/46,C3933,C6376,,,,,
A23F 5/48,C3933,C6376,C6048,,,,
A23F 5/50,C3940,C6376,C6048,,,,
A23G 1/00,C12358,,,,,,
A23G 1/02,C12358,C12791,,,,,
A23G 1/04,C12358,C12794,,,,,
A23G 1/06,C51156,C12794,,,,,
A23G 1/08,C3896,C12740,,,,,
A23G 1/10,C10381,C13759,C3569,,,,
A23G 1/12,C3569,C13448,C13759,,,,
A23G 1/14,C3569,C4087,C12794,,,,
A23G 1/16,C3569,C4087,C12794,,,,
A23G 1/18,C3584,C10558,C12794,,,,
A23G 1/20,C3569,C12794,,,,,
A23G 1/21,C3569,C10558,C12794,,,,
A23G 1/22,C3569,C193332,,,,,
A23G 1/24,C3569,C12791,C17190,,,,
A23G 1/26,C3569,C193332,C4183,,,,
A23G 1/28,C3569,C10558,C12794,,,,
A23G 1/30,C3905,,,,,,
A23G 1/32,C3905,C4062,,,,,
A23G 1/34,C3892,C195600,,,,,
A23G 1/36,C3905,C6111,,,,,
A23G 1/38,C3900,,,,,,
A23G 1/40,C3905,C2976,,,,,
A23G 1/42,C3905,C10268,C5780,C8332,,,
A23G 1/44,C3905,C11906,,,,,
A23G 1/46,C3905,C4752,,,,,
A23G 1/48,C3905,C12358,,,,,
A23G 1/50,C3905,C12181,,,,,
A23G 1/52,C3905,C15357,,,,,
A23G 1/54,C3905,,,,,,
A23G 1/56,C3905,C188709,,,,,
A23G 3/00,C15432,,,,,,
A23G 3/02,C15432,C12794,,,,,
A23G 3/04,C15432,C4188,C15417,,,,
A23G 3/06,C15432,C12794,C14435,,,,
A23G 3/08,C2856,C17190,C4198,,,,
A23G 3/10,C2856,C12794,,,,,
A23G 3/12,C2856,C10558,C193332,,,,
A23G 3/14,C6489,C1847,C12794,,,,
A23G 3/16,C6489,C193332,,,,,
A23G 3/18,C6489,C10558,C193332,,,,
A23G 3/20,C15432,C12794,C3878,C4102,,,
A23G 3/22,C15432,C12794,C3878,,,,
A23G 3/24,C15432,C12794,C3878,C5204,,,
A23G 3/26,C15432,C12794,C3878,C16499,,,
A23G 3/28,C15432,C12794,C4853,,,,
A23G 3/32,C2947,C12791,,,,,
A23G 3/34,C15432,C12791,,,,,
A23G 3/36,C15432,C4062,,,,,
A23G 3/38,C15442,,,,,,
A23G 3/40,C15432,C6111,,,,,
A23G 3/42,C15432,C2976,,,,,
A23G 3/44,C15432,C11906,,,,,
A23G 3/46,C15432,C4752,,,,,
A23G 3/48,C15432,C12358,,,,,
A23G 3/50,C15432,C12181,,,,,
A23G 3/52,C15432,C15357,,,,,
A23G 3/54,C15432,,,,,,
A23G 3/56,C15432,,,,,,
A23G 4/00,C3427,,,,,,
A23G 4/02,C3427,C12794,,,,,
A23G 4/04,C3427,C14435,C12794,,,,
A23G 4/06,C3427,C4062,,,,,
